STDIV,PDSI_DEV_2016,PDSI_DEV_2014,PDSI_DEV_2012,PDSI_DEV_2007,PDSI_DEV_2002
20003,1.03,-2.09,0.22,2.01,0.69
20004,0.54,-1.93,0.67,0.53,0.3
20005,-0.88,-2.56,0.87,1.27,0.8
20006,0.65,-1.23,0.76,0.74,0.87
20007,0.86,-1.13,2,1.74,0.54
20008,-0.21,-1.22,1.4,0.25,0.83
20009,0.43,-1.11,2.17,0.41,0.91
20010,1.04,-0.69,2.16,0.96,0.91
21001,0.29,1.08,5.65,1.68,-0.52
21002,-0.35,-0.09,3.59,3.3,0.69
21003,-3.16,-0.95,1.1,1.61,0.62
21004,0.4,-0.25,3.58,0.63,0.72
21005,-1.07,0.33,3.44,1.65,-0.46
21006,-2.7,-1.49,1.1,1.95,-0.51
21007,-2.59,2.35,3.94,0.3,1.04
21008,-3.77,1.6,4.88,0.11,0.92
21009,-2.89,-1.33,3.59,-0.48,-0.22
22001,0.37,-0.89,1.41,2.41,-2.41
22002,0.85,-0.85,1.73,2.98,-2.83
22003,1.62,-0.56,0.94,3.72,-2.24
22004,0.66,-0.51,0.46,2.26,-0.4
22005,1.04,-0.84,-0.38,2.92,-1.18
22006,1.26,-0.1,0.22,3.78,0.36
22007,-0.67,-0.57,-0.9,2.33,-1.62
22008,0.22,-0.56,-1.09,2.28,-0.24
22009,0.45,-0.62,-1.52,2.78,0.16
22010,-1.17,-0.3,-0.46,1.61,0.05
23001,-1.08,0.7,2.91,0.5,1.32
23002,1.21,0.28,3.69,1.12,0.56
23003,1.18,0.93,2.53,2.33,1.68
23004,1.13,1.34,3.13,0.03,0.86
23005,-2.32,0.73,2.94,1.09,-0.06
23006,-0.85,-2.06,1.64,0.37,-0.99
24001,1.61,-0.22,-0.43,1.48,0.09
24002,0.51,-0.36,2.83,1.12,4.03
24003,-1.08,-2.62,-0.34,2.19,1.12
24004,0.81,-1.46,1.74,0.25,4.81
24005,0.8,-3.13,3.74,0.8,6.88
24006,-0.68,-2.04,0.77,-0.02,1.02
24007,1.06,-3.12,3.43,-0.49,3.53
25001,-3.98,-2.86,4.55,3.25,4.36
25002,-2.46,0.26,4.07,-0.99,4.41
25003,-2.99,0.01,5.41,-2.99,1.5
25005,0.68,1.18,4.33,-2.77,4.41
25006,-3.23,-0.29,4.04,-2.32,3.38
25007,0.43,1.8,4.27,-2.54,3.87
25008,0.48,1.86,2.55,-2.43,3.39
25009,-0.24,0.76,2.31,-1.34,1.94
26001,-0.64,4.38,4.05,4.55,3.07
26002,-2.05,3.4,3.8,3.62,3.69
26003,0.45,2.68,1.81,3.82,4.42
26004,0.63,2.37,0.18,3.52,4.13
27001,0.94,0.11,0.61,-2.63,0.4
27002,2.46,-0.83,0.93,-2.87,2.83
28001,3.12,0.31,2.15,-1.35,2.7
28002,0.62,-1.72,0.43,0.24,2.78
28003,-0.07,-1.89,-0.07,0.6,2.6
29001,0.61,3.11,2.97,1.4,4.31
29002,0.61,2.79,5.7,0.45,5.29
29003,0.59,2.78,4.7,0.37,2.67
29004,1.29,1.87,4.2,1.74,4.2
29005,1.87,1.04,3.79,-0.33,3.12
29006,0.79,1.5,4.84,-1.4,3.2
29007,0.23,1.06,4.43,-0.91,2.07
29008,1.61,1.52,4.16,1.06,3.94
30001,1.01,-0.5,1.03,0.75,0.32
30002,1.18,-0.31,1.84,-2.5,0.52
30003,0.81,-0.88,1.75,-0.15,1.3
30004,3.4,0.24,1.66,-0.22,1.69
30005,2.38,0.68,2.27,-1.62,1.65
30006,0.72,-0.77,2.5,-0.39,-0.28
30007,2.16,-0.07,2.01,-2.28,0.69
